msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1739039494.311 1739039495.116 0.000 0.000 60 60 3600
1739039494.912 1739039495.954 0.000 0.000 60 60 3600
1739039496.713 1739039497.238 0.000 0.000 60 60 3600
1739039499.712 1739039500.355 0.000 0.000 60 60 3600
1739039500.312 1739039501.380 0.000 0.000 60 60 3600
1739039501.514 1739039502.263 0.000 0.000 60 60 3600
1739039502.112 1739039503.144 0.000 0.000 60 60 3600
1739039503.312 1739039504.289 0.000 0.000 60 60 3600
1739039505.112 1739039505.897 0.000 0.000 60 60 3600
1739039507.512 1739039508.170 0.000 0.000 60 60 3600
1739039508.112 1739039508.331 0.000 0.000 60 60 3600
1739039514.112 1739039514.997 0.000 0.000 60 60 3600
1739039514.713 1739039515.207 0.000 0.000 60 60 3600
1739039516.512 1739039517.459 0.000 0.000 60 60 3600
1739039518.312 1739039519.212 0.000 0.000 60 60 3600
1739039518.912 1739039519.729 0.000 0.000 60 60 3600
1739039519.511 1739039520.348 0.000 0.000 60 60 3600
1739039520.712 1739039521.321 0.000 0.000 60 60 3600
1739039521.912 1739039522.945 0.000 0.000 60 60 3600
1739039524.311 1739039525.493 0.000 0.000 60 60 3600
1739039526.112 1739039526.926 0.000 0.000 60 60 3600
1739039527.312 1739039528.310 0.000 0.000 60 60 3600
1739039529.112 1739039529.762 0.000 0.000 60 60 3600
1739039529.712 1739039530.813 0.000 0.000 60 60 3600
1739039531.511 1739039532.219 0.000 0.000 60 60 3600
1739039533.311 1739039534.368 0.000 0.000 60 60 3600
1739039535.112 1739039536.092 0.000 0.000 60 60 3600
1739039535.711 1739039536.535 0.000 0.000 60 60 3600
1739039536.313 1739039536.965 0.000 0.000 60 60 3600
1739039536.912 1739039537.940 0.000 0.000 60 60 3600
1739039538.111 1739039538.660 0.000 0.000 60 60 3600
1739039539.313 1739039540.102 0.000 0.000 60 60 3600
1739039540.512 1739039541.289 0.000 0.000 60 60 3600
1739039541.711 1739039542.564 0.000 0.000 60 60 3600
1739039543.511 1739039544.333 0.000 0.000 60 60 3600
1739039544.111 1739039544.826 0.000 0.000 60 60 3600
1739039544.711 1739039545.568 0.000 0.000 60 60 3600
1739039545.311 1739039546.152 0.000 0.000 60 60 3600
1739039546.511 1739039547.460 0.000 0.000 60 60 3600
1739039547.111 1739039547.809 0.000 0.000 60 60 3600
1739039552.511 1739039553.483 0.000 0.000 60 60 3600
1739039553.111 1739039553.672 0.000 0.000 60 60 3600
1739039554.912 1739039555.991 0.000 0.000 60 60 3600
1739039555.511 1739039556.379 0.000 0.000 60 60 3600
1739039556.712 1739039557.330 0.000 0.000 60 60 3600
1739039557.312 1739039558.288 0.000 0.000 60 60 3600
1739039559.111 1739039559.806 0.000 0.000 60 60 3600
1739039559.711 1739039560.427 0.000 0.000 60 60 3600
1739039560.912 1739039561.792 0.000 0.000 60 60 3600
1739039563.311 1739039563.936 0.000 0.000 60 60 3600
1739039564.512 1739039565.156 0.000 0.000 60 60 3600
1739039566.911 1739039567.699 0.000 0.000 60 60 3600
1739039567.511 1739039567.988 0.000 0.000 60 60 3600
1739039568.112 1739039569.184 0.000 0.000 60 60 3600
1739039568.712 1739039569.527 0.000 0.000 60 60 3600
1739039569.311 1739039570.161 0.000 0.000 60 60 3600
1739039569.912 1739039570.615 0.000 0.000 60 60 3600
1739039571.111 1739039571.972 0.000 0.000 60 60 3600
1739039571.711 1739039572.682 0.000 0.000 60 60 3600
1739039574.712 1739039575.793 0.000 0.000 60 60 3600
1739039576.511 1739039577.416 0.000 0.000 60 60 3600
1739039578.311 1739039579.339 0.000 0.000 60 60 3600
1739039580.711 1739039581.455 0.000 0.000 60 60 3600
1739039581.911 1739039582.364 0.000 0.000 60 60 3600
